chimera_id,cosmos_id,galaxy_ra_deg,galaxy_dec_deg,qso_ra_deg,qso_dec_deg,dr7q_name,dr7q_plate,dr7q_mjd,dr7q_fiber,dr7q_spectrum_id,chimera_redshift,dr7q_redshift,chimera_qso_weight
092313.69+372656.7_401570_0.003,401570,150.0625274605643,1.9018059568582752,140.80706999999998,37.44909,092313.69+372656.7,1214,52731,305,1214-52731-305,0.361299991607666,0.36630000000000007,0.003
090325.66+300525.0_654145_1,654145,150.35268980068773,2.291502941812638,135.85692999999998,30.090299999999996,090325.66+300525.0,1590,52974,51,1590-52974-51,0.5378000140190125,0.5376000000000001,1.0
164957.16+285854.4_923464_1,923464,150.01501868020165,2.701338277058711,252.48816999999997,28.981779999999997,164957.16+285854.4,1342,52793,7,1342-52793-7,0.6859999895095825,0.6811,1.0
151338.71+413904.9_929394_0.3,929394,150.1406330654331,2.710893860818697,228.41131999999996,41.651379999999996,151338.71+413904.9,1291,52735,29,1291-52735-29,0.7767999768257141,0.7765000000000001,0.3
085353.71+142920.2_644415_0.0003,644415,149.78779119545896,2.2764507047781994,133.47383,14.488959999999999,085353.71+142920.2,2433,53820,356,2433-53820-356,0.478300005197525,0.48340000000000005,0.0003
075217.31+271726.4_648095_0.01,648095,150.1353652832364,2.2829975352269614,118.07213999999999,27.290689999999998,075217.31+271726.4,858,52316,503,858-52316-503,0.6676999926567078,0.6638000000000001,0.01
021440.82+125802.8_368548_0.0003,368548,150.13580801496926,1.850103455528394,33.670109999999994,12.967469999999999,021440.82+125802.8,428,51883,30,428-51883-30,0.5554999709129333,0.5653,0.0003
073958.12+324223.0_369279_0.001,369279,150.0755506146407,1.8531062067171646,114.99219999999998,32.706399999999995,073958.12+324223.0,541,51959,516,541-51959-516,0.5600000023841858,0.5635000000000001,0.001
151044.77+194048.7_359582_0.0003,359582,149.7417948824193,1.8356041256465803,227.68654999999998,19.680199999999996,151044.77+194048.7,2792,54556,625,2792-54556-625,0.6651999950408936,0.6632000000000001,0.0003
074718.26+321933.1_363912_1,363912,150.37608732473385,1.842585416311115,116.82609999999998,32.325889999999994,074718.26+321933.1,755,52235,522,755-52235-522,0.34689998626708984,0.3527,1.0
144130.51+114437.6_456199_0.001,456199,149.89338092430862,1.9882419853831572,220.37711999999996,11.743789999999999,144130.51+114437.6,1712,53531,259,1712-53531-259,0.5300999879837036,0.5206000000000001,0.001
085817.31+323202.2_369279_1,369279,150.0755506146407,1.8531062067171646,134.57213,32.53397,085817.31+323202.2,1272,52989,296,1272-52989-296,0.5600000023841858,0.5597000000000001,1.0
083905.57+301656.5_420245_0.1,420245,150.61318665821082,1.932967843211606,129.77325,30.282379999999996,083905.57+301656.5,1269,52937,397,1269-52937-397,1.2699999809265137,1.2675,0.1
143730.46+075127.9_416386_1,416386,150.01650608679552,1.9261628279786458,219.37693999999996,7.857769999999999,143730.46+075127.9,1813,53903,302,1813-53903-302,0.2653000056743622,0.257,1.0
084115.91+274339.0_422475_0.0003,422475,149.87388887627935,1.9355206850142457,130.31629999999998,27.727509999999995,084115.91+274339.0,1588,52965,319,1588-52965-319,0.5776000022888184,0.5817000000000001,0.0003
083406.99+303749.4_435667_0.03,435667,149.72938742283935,1.9568468054124397,128.52913999999998,30.630419999999997,083406.99+303749.4,1208,52672,109,1208-52672-109,0.7272999882698059,0.7322000000000001,0.03
023240.83-092113.5_652370_1,652370,150.16537948452046,2.2894080794980662,38.17014999999999,-9.353769999999999,023240.83-092113.5,455,51909,281,455-51909-281,0.7279000282287598,0.7371000000000001,1.0
140030.13+002208.5_638362_0.3,638362,149.86602972432874,2.267845273452656,210.12557999999999,0.36904,140030.13+002208.5,301,51942,545,301-51942-545,0.25099998712539673,0.2584,0.3
164527.79+194534.3_634789_0.03,634789,149.78969868140126,2.2635990850347305,251.36579999999998,19.759549999999997,164527.79+194534.3,1569,53168,217,1569-53168-217,1.2237999439239502,1.2163000000000002,0.03
021833.19+002525.8_636233_0.1,636233,150.38168246144232,2.2658687463834477,34.63829,0.42384999999999995,021833.19+002525.8,703,52209,549,703-52209-549,0.8479999899864197,0.8446000000000001,0.1
142408.88+204246.2_636396_0.01,636396,149.78362137170944,2.266220369402287,216.03701999999998,20.712839999999996,142408.88+204246.2,2773,54533,570,2773-54533-570,1.2229000329971313,1.2284000000000002,0.01
163642.91+332729.0_640223_1,640223,149.75671365111765,2.271359043497398,249.17881999999997,33.458059999999996,163642.91+332729.0,1339,52767,252,1339-52767-252,0.9039999842643738,0.9125000000000001,1.0
143730.21+082700.6_604414_0.0001,604414,149.78022321410805,2.217754153417058,219.37591999999998,8.450169999999998,143730.21+082700.6,1813,53903,357,1813-53903-357,1.1593999862670898,1.1669,0.0001
075515.06+185856.8_601996_0.03,601996,150.70291407516427,2.21344501706475,118.81277999999999,18.982449999999996,075515.06+185856.8,1920,53314,530,1920-53314-530,0.4627000093460083,0.47200000000000003,0.03
143747.87+283019.4_617393_0.03,617393,150.3101119750638,2.233976671557454,219.44948999999997,28.505409999999998,143747.87+283019.4,2137,54206,441,2137-54206-441,0.24799999594688416,0.24940000000000004,0.03
153004.79+101207.5_617822_1,617822,150.45743368826035,2.235078456568293,232.51998999999998,10.202089999999998,153004.79+101207.5,1722,53852,158,1722-53852-158,0.22120000422000885,0.22200000000000003,1.0
160030.58+231806.8_617512_0.03,617512,149.84748400149599,2.2387006720728944,240.12745999999996,23.301889999999997,160030.58+231806.8,1851,53524,257,1851-53524-257,3.6440000534057617,3.6379000000000006,0.03
080649.15+344745.4_609771_0.003,609771,149.81252882821133,2.226041048063451,121.70479999999998,34.795959999999994,080649.15+344745.4,892,52378,286,892-52378-286,1.5516999959945679,1.5510000000000002,0.003
080833.36+424836.3_601266_1,601266,149.46541666922244,2.211548034609736,122.13903999999998,42.810089999999995,080833.36+424836.3,437,51869,638,437-51869-638,0.5357000231742859,0.5429,1.0
144321.12+190352.1_600741_0.001,600741,150.50021610839624,2.2124596971099204,220.83799999999997,19.064469999999996,144321.12+190352.1,2776,54554,495,2776-54554-495,0.3010999858379364,0.29900000000000004,0.001
080337.41+364404.5_651345_0.03,651345,150.55510080943762,2.287632140334551,120.90587999999998,36.73459999999999,080337.41+364404.5,758,52253,232,758-52253-232,0.36809998750686646,0.3657,0.03
152337.07+154801.5_669714_0.3,669714,150.1896759143066,2.316031711369254,230.90445999999997,15.800429999999999,152337.07+154801.5,2767,54243,449,2767-54243-449,0.7519000172615051,0.7534000000000001,0.3
135915.86+120109.1_923098_0.003,923098,150.13454302518926,2.6999130231252897,209.81609999999998,12.019219999999999,135915.86+120109.1,1703,53799,341,1703-53799-341,0.35499998927116394,0.36180000000000007,0.003
080320.08+252602.4_915587_0.003,915587,149.50627951157267,2.68759314853932,120.83368999999999,25.434009999999997,080320.08+252602.4,1205,52670,182,1205-52670-182,0.47099998593330383,0.4771000000000001,0.003
144049.11+222825.3_916795_0.3,916795,149.87594286054602,2.693060277983112,220.20463999999998,22.473719999999997,144049.11+222825.3,2140,53858,223,2140-53858-223,1.3990000486373901,1.4050000000000002,0.3
074128.90+470321.6_923098_0.3,923098,150.13454302518926,2.6999130231252897,115.37043999999999,47.05600999999999,074128.90+470321.6,1867,53317,58,1867-53317-58,0.35499998927116394,0.35200000000000004,0.3
141240.41+164831.7_927917_0.001,927917,149.990973050978,2.7085261518525603,213.16837999999998,16.808809999999998,141240.41+164831.7,2745,54231,526,2745-54231-526,1.0920000076293945,1.0959,0.001
161736.10+131413.7_943655_0.3,943655,150.05035073368282,2.7341503137013357,244.40041999999997,13.237159999999998,161736.10+131413.7,2530,53881,342,2530-53881-342,0.8059999942779541,0.8006000000000001,0.3
084404.20+413803.8_587285_0.0001,587285,149.8393627464939,2.1934192023189865,131.01749999999998,41.63439999999999,084404.20+413803.8,896,52592,137,896-52592-137,1.7402000427246094,1.7454000000000003,0.0001
161815.53+370103.8_433407_0.001,433407,149.64876683424174,1.9548413738815056,244.56472999999997,37.01774999999999,161815.53+370103.8,1056,52764,623,1056-52764-623,2.505500078201294,2.4964000000000004,0.001
080409.24+385348.8_432099_0.0003,432099,150.55995647425726,1.9491856007384945,121.03850999999999,38.89688999999999,080409.24+385348.8,544,52201,33,544-52201-33,0.218299999833107,0.21140000000000003,0.0003
164806.79+272658.8_436135_0.01,436135,149.59586284362507,1.9562206511302702,252.02828999999997,27.449669999999998,164806.79+272658.8,1691,53260,383,1691-53260-383,0.5309000015258789,0.5362,0.01
161608.39+514721.0_553219_0.0003,553219,150.52320900171847,2.1416529328739426,244.03498999999996,51.78918999999999,161608.39+514721.0,623,52051,499,623-52051-499,0.5717999935150146,0.5726000000000001,0.0003
080731.96+262600.9_547577_0.1,547577,150.01547727015912,2.133973054945459,121.88316999999998,26.433579999999996,080731.96+262600.9,1205,52670,524,1205-52670-524,0.9549999833106995,0.9597000000000001,0.1
080719.65+203248.1_554694_0.001,554694,149.7179812868329,2.1434932635949497,121.83189999999999,20.546719999999997,080719.65+203248.1,1924,53330,294,1924-53330-294,0.6977999806404114,0.7053,0.001
154042.89+323307.2_463262_0.0003,463262,150.75065616862616,2.0014599522706056,235.17873999999998,32.55202,154042.89+323307.2,1581,53149,475,1581-53149-475,0.9259999990463257,0.9173000000000001,0.0003
083434.48+073900.2_465221_0.1,465221,149.8123648011061,2.005023958305963,128.64369,7.650069999999999,083434.48+073900.2,1297,52963,402,1297-52963-402,1.0255000591278076,1.0222000000000002,0.1
084136.18+541047.1_556070_0.01,556070,150.06761362468706,2.1468798578202937,130.40078999999997,54.179759999999995,084136.18+541047.1,446,51899,189,446-51899-189,3.0118000507354736,3.0134000000000003,0.01
